,AP,x_coordinate(m),y_coordinate(m),floor
339,Bldg11AP26,21663,33167,2.0
340,Bldg11AP27,21663,33167,4.0
341,Bldg11AP28,21663,33167,3.0
342,Bldg11AP29,21663,33167,4.0
343,Bldg11AP30,21663,33167,5.0
344,Bldg11AP31,21663,33167,4.0
345,Bldg11AP32,21663,33167,4.0
346,Bldg11AP33,21663,33167,4.0
347,Bldg11AP34,21663,33167,4.0
348,Bldg11AP35,21663,33167,4.0
349,Bldg11AP36,21663,33167,5.0
350,Bldg11AP37,21663,33167,5.0
351,Bldg11AP38,21663,33167,1.0
352,Bldg11AP39,21663,33167,5.0
353,Bldg11AP40,21663,33167,5.0
354,Bldg11AP41,21663,33167,2.0
355,Bldg11AP42,21663,33167,3.0
356,Bldg11AP43,21663,33167,4.0
357,Bldg11AP44,21663,33167,4.0
358,Bldg11AP45,21663,33167,5.0
359,Bldg11AP46,21663,33167,5.0
360,Bldg11AP47,21663,33167,5.0
361,Bldg11AP48,21663,33167,3.0
362,Bldg11AP49,21663,33167,5.0
363,Bldg11AP50,21663,33167,1.0
364,Bldg11AP51,21663,33167,
365,Bldg12AP1,21598,33117,
366,Bldg12AP2,21598,33117,
367,Bldg12AP3,21598,33117,
368,Bldg12AP4,21598,33117,
369,Bldg13AP1,21486,32863,
370,Bldg14AP1,21675,32938,0.0
371,Bldg14AP2,21692,32884,0.0
372,Bldg14AP3,21692,32884,1.0
373,Bldg14AP4,21692,32884,1.0
374,Bldg14AP5,21692,32884,0.0
375,Bldg14AP6,21692,32884,1.0
376,Bldg14AP7,21675,32938,1.0
377,Bldg14AP8,21675,32938,1.0
378,Bldg14AP9,21675,32938,0.0
379,Bldg14AP10,21675,32938,1.0
380,Bldg14AP11,21692,32884,0.0
381,Bldg14AP12,21692,32884,0.0
382,Bldg14AP13,21692,32884,0.0
383,Bldg14AP14,21692,32884,1.0
384,Bldg14AP15,21692,32884,1.0
385,Bldg14AP16,21692,32884,1.0
386,Bldg14AP17,21675,32938,1.0
387,Bldg14AP18,21675,32938,1.0
388,Bldg14AP19,21692,32884,2.0
389,Bldg14AP20,21692,32884,2.0
390,Bldg14AP21,21675,32938,2.0
391,Bldg14AP22,21675,32938,2.0
392,Bldg14AP23,21675,32938,2.0
393,Bldg14AP24,21692,32884,3.0
394,Bldg14AP25,21692,32884,3.0
395,Bldg14AP26,21692,32884,3.0
396,Bldg14AP27,21675,32938,3.0
397,Bldg14AP28,21692,32884,4.0
398,Bldg14AP29,21692,32884,4.0
399,Bldg14AP30,21692,32884,5.0
400,Bldg14AP31,21692,32884,5.0
401,Bldg14AP32,21675,32938,0.0
402,Bldg14AP33,21675,32938,0.0
403,Bldg14AP34,21692,32884,0.0
404,Bldg14AP35,21692,32884,0.0
405,Bldg14AP36,21692,32884,0.0
406,Bldg14AP37,21692,32884,0.0
407,Bldg14AP38,21692,32884,-1.0
408,Bldg14AP39,21675,32938,0.0
409,Bldg14AP40,21675,32938,-1.0
410,Bldg14AP41,21692,32884,0.0
411,Bldg14AP42,21675,32938,0.0
412,Bldg14AP43,21675,32938,3.0
413,Bldg15AP1,21824,32935,3.0
414,Bldg15AP2,21824,32935,4.0
415,Bldg15AP3,21824,32935,6.0
416,Bldg15AP4,21824,32935,5.0
417,Bldg15AP5,21824,32935,3.0
418,Bldg15AP6,21824,32935,3.0
419,Bldg15AP7,21824,32935,5.0
420,Bldg15AP8,21824,32935,5.0
421,Bldg15AP9,21824,32935,5.0
422,Bldg15AP10,21824,32935,5.0
423,Bldg15AP11,21824,32935,5.0
424,Bldg15AP12,21824,32935,5.0
425,Bldg15AP13,21824,32935,5.0
426,Bldg15AP14,21824,32935,5.0
427,Bldg15AP15,21824,32935,5.0
428,Bldg15AP16,21824,32935,5.0
429,Bldg15AP17,21824,32935,5.0
430,Bldg15AP18,21824,32935,5.0
431,Bldg15AP19,21824,32935,6.0
432,Bldg15AP20,21824,32935,7.0
433,Bldg15AP21,21824,32935,3.0
434,Bldg16AP1,21763,32993,5.0
435,Bldg16AP2,21705,32988,5.0
436,Bldg16AP3,21763,32993,2.0
437,Bldg16AP4,21763,32993,3.0
438,Bldg16AP5,21763,32993,3.0
439,Bldg16AP6,21763,32993,3.0
440,Bldg16AP7,21763,32993,5.0
441,Bldg16AP8,21763,32993,3.0
442,Bldg16AP9,21763,32993,3.0
443,Bldg16AP10,21763,32993,4.0
444,Bldg16AP11,21763,32993,4.0
445,Bldg16AP12,21740,33078,2.0
446,Bldg16AP13,21740,33078,3.0
447,Bldg16AP14,21740,33078,3.0
448,Bldg16AP15,21740,33078,4.0
449,Bldg16AP16,21740,33078,4.0
450,Bldg16AP17,21705,32988,4.0
451,Bldg16AP18,21705,32988,5.0
452,Bldg16AP19,21705,32988,5.0
453,Bldg16AP20,21705,32988,2.0
454,Bldg16AP21,21705,32988,2.0
455,Bldg16AP22,21705,32988,3.0
456,Bldg16AP23,21705,32988,4.0
457,Bldg16AP24,21763,32993,1.0
458,Bldg16AP25,21763,32993,3.0
459,Bldg16AP26,21763,32993,3.0
460,Bldg16AP27,21763,32993,4.0
461,Bldg16AP28,21763,32993,5.0
462,Bldg16AP29,21763,32993,2.0
463,Bldg16AP30,21763,32993,2.0
464,Bldg16AP31,21763,32993,4.0
465,Bldg16AP32,21740,33078,2.0
466,Bldg16AP33,21740,33078,5.0
467,Bldg16AP34,21705,32988,3.0
468,Bldg16AP35,21705,32988,
469,Bldg16AP36,21763,32993,
470,Bldg16AP37,21705,32988,
471,Bldg17AP1,21814,32985,6.0
472,Bldg17AP2,21814,32985,2.0
473,Bldg17AP3,21814,32985,2.0
474,Bldg17AP4,21814,32985,3.0
475,Bldg17AP5,21814,32985,3.0
476,Bldg17AP6,21814,32985,3.0
477,Bldg17AP7,21814,32985,4.0
478,Bldg17AP8,21814,32985,4.0
479,Bldg17AP9,21814,32985,4.0
480,Bldg17AP10,21814,32985,4.0
481,Bldg17AP11,21814,32985,4.0
482,Bldg17AP12,21814,32985,5.0
483,Bldg17AP13,21814,32985,5.0
484,Bldg17AP14,21814,32985,6.0
485,Bldg17AP15,21814,32985,6.0
486,Bldg18AP1,21799,33017,3.0
487,Bldg18AP2,21799,33017,3.0
488,Bldg18AP3,21799,33017,3.0
489,Bldg18AP4,21799,33017,3.0
490,Bldg18AP5,21799,33017,4.0
491,Bldg18AP6,21799,33017,4.0
492,Bldg18AP7,21799,33017,5.0
493,Bldg18AP8,21799,33017,5.0
494,Bldg18AP9,21799,33017,5.0
495,Bldg18AP10,21799,33017,6.0
496,Bldg18AP11,21799,33017,6.0
497,Bldg18AP12,21799,33017,6.0
498,Bldg19AP1,21838,33058,3.0
499,Bldg19AP2,21838,33058,2.0
500,Bldg19AP3,21838,33058,3.0
501,Bldg19AP4,21838,33058,3.0
502,Bldg19AP5,21838,33058,3.0
503,Bldg19AP6,21838,33058,5.0
504,Bldg19AP7,21838,33058,5.0
505,Bldg19AP8,21838,33058,5.0
506,Bldg19AP9,21838,33058,2.0
507,Bldg19AP10,21838,33058,2.0
508,Bldg19AP11,21838,33058,2.0
509,Bldg19AP12,21838,33058,2.0
510,Bldg19AP13,21838,33058,2.0
511,Bldg19AP14,21838,33058,2.0
512,Bldg19AP15,21838,33058,2.0
513,Bldg19AP16,21838,33058,4.0
514,Bldg19AP17,21838,33058,4.0
515,Bldg19AP18,21838,33058,4.0
516,Bldg19AP19,21838,33058,5.0
517,Bldg19AP20,21838,33058,2.0
518,Bldg20AP1,21510,33050,3.0
519,Bldg20AP2,21510,33050,2.0
520,Bldg20AP3,21510,33050,2.0
521,Bldg20AP4,21510,33050,2.0
522,Bldg20AP5,21510,33050,3.0
523,Bldg20AP6,21510,33050,3.0
524,Bldg20AP7,21510,33050,3.0
525,Bldg20AP8,21510,33050,3.0
526,Bldg20AP9,21510,33050,3.0
527,Bldg20AP10,21510,33050,3.0
528,Bldg20AP11,21510,33050,4.0
529,Bldg20AP12,21510,33050,4.0
530,Bldg20AP13,21510,33050,4.0
531,Bldg20AP14,21510,33050,5.0
532,Bldg20AP15,21510,33050,5.0
533,Bldg20AP16,21510,33050,5.0
534,Bldg20AP17,21510,33050,5.0
535,Bldg20AP18,21510,33050,6.0
536,Bldg20AP19,21510,33050,6.0
537,Bldg20AP20,21510,33050,6.0
538,Bldg20AP21,21510,33050,2.0
539,Bldg20AP22,21510,33050,2.0
540,Bldg20AP23,21510,33050,2.0
541,Bldg20AP24,21510,33050,2.0
542,Bldg20AP25,21510,33050,2.0
543,Bldg20AP26,21510,33050,2.0
544,Bldg20AP27,21510,33050,3.0
545,Bldg20AP28,21510,33050,3.0
546,Bldg20AP29,21510,33050,4.0
547,Bldg20AP30,21510,33050,4.0
548,Bldg20AP31,21510,33050,4.0
549,Bldg20AP32,21510,33050,4.0
550,Bldg20AP33,21510,33050,5.0
551,Bldg20AP34,21510,33050,5.0
552,Bldg20AP35,21510,33050,5.0
553,Bldg20AP36,21510,33050,7.0
554,Bldg21AP1,20908,33302,
